รหัสพัสดุ		รายการ		กก./ชุด		หน่วย
1-01-011-0200	|	สลักเกลียว เอ็ม 16x130 มม.	|	0.27	|	กก.
1-01-011-0201	|	สลักเกลียว เอ็ม 16x170 มม.	|	0.33	|	กก.
1-01-011-0202	|	สลักเกลียว เอ็ม 16x200 มม.	|	0.38	|	กก.
1-01-011-0203	|	สลักเกลียว เอ็ม 16x250 มม.	|	0.43	|	กก.
1-01-011-0204	|	สลักเกลียว เอ็ม 16x300 มม.	|	0.52	|	กก.
1-01-011-0205	|	สลักเกลียว เอ็ม 16x350 มม.	|	0.6	|	กก.
1-01-011-0206	|	สลักเกลียว เอ็ม 16x400 มม.	|	0.65	|	กก.
1-01-011-0207	|	สลักเกลียว เอ็ม 16x450 มม.	|	0.74	|	กก.
1-01-011-0208	|	สลักเกลียว เอ็ม 16x500 มม.	|	0.8	|	กก.
1-01-011-0209	|	สลักเกลียว เอ็ม 16x600 มม.	|	0.84	|	กก.
1-01-012-0000	|	สลักเกลียวตลอด เอ็ม 16x400 มม.	|	0.7	|	กก.
1-01-012-0001	|	สลักเกลียวตลอด เอ็ม 16x450 มม.	|	0.77	|	กก.
1-01-013-0000	|	สลักเกลียวห่วงกลม เอ็ม 16x400 มม.	|	0.75	|	กก.
1-01-013-0001	|	สลักเกลียวห่วงกลม เอ็ม 16x450 มม.	|	0.82	|	กก.
1-01-013-0002	|	สลักเกลียวห่วงกลม เอ็ม 16x500 มม.	|	0.88	|	กก.
1-01-013-0003	|	สลักเกลียวห่วงกลม เอ็ม 16x650 มม.	|	1.22	|	กก.
1-01-014-0001	|	สลักห่วงกลม เอ็ม 16x200 มม.	|	0.45	|	กก.
1-01-014-0002	|	สลักห่วงกลม เอ็ม 16x250 มม.	|	0.54	|	กก.
1-01-016-0000	|	สดับโบลท์ เอ็ม 24x600 มม.	|	2	|	กก.
1-01-016-0001	|	สดับโบลท์ เอ็ม 24x800 มม.	|	3	|	กก.
1-01-016-0002	|	สดับโบลท์ เอ็ม 24x1000 มม.	|	3.5	|	กก.
1-01-018-0001	|	นัทรูปห่วง เอ็ม 16 ดิน 582	|	0.25	|	กก.
1-01-018-0100	|	แหวนรองแบบเรียบ	|	0.07	|	กก.
1-01-018-0201	|	แหวนรองแบบโค้ง	|	0.1	|	กก.
1-01-020-0001	|	เหล็กประกับไม้คอน ขนาด 30x6 มม.	|	1	|	กก.
1-01-021-0201	|	สลักห่วง แบบธรรมดาเดี่ยว 45 องศา	|	0.65	|	กก.
1-01-021-0300	|	แผ่นห่วง สำหรับสายยึดโยง 30 องศา	|	0.4	|	กก.
1-01-021-0304	|	กายทิมเบิ้ล สำหรับสายยึดโยง 5095	|	0.05	|	กก.
1-01-022-0002	|	กราวด์ร็อด ขนาด 60x60x5 มม.	|	8	|	กก.
1-01-023-0000	|	ยูแคล้มป์ สลัก 1 ตัว เอ็ม 8	|	0.06	|	กก.
1-01-023-0001	|	ยูแคล้มป์ สลักคู่ เอ็ม 16	|	0.46	|	กก.
1-01-023-0205	|	กราวด์วายร์แคล้มป์ แบบ เจ 1152	|	0.2	|	กก.
1-02-030-0101	|	พีจี. คอนเนคเตอร์ สลักคู่ 1670 ต.มม.	|	0.1	|	กก.
1-02-030-0102	|	พีจี. คอนเนคเตอร์ สลักคู่ 2595 ต.มม.	|	0.11	|	กก.
1-02-030-0103	|	พีจี. คอนเนคเตอร์ 3 สลัก 70185 ต.มม.	|	0.21	|	กก.
1-02-031-0000	|	คอนเนคเตอร์ 2535 ต.มม.	|	0.1	|	กก.
1-02-031-0001	|	คอนเนคเตอร์ 5070 ต.มม.	|	0.17	|	กก.
1-02-031-0002	|	คอนเนคเตอร์ 95120 ต.มม.	|	0.35	|	กก.
1-02-033-0000	|	เบลแคล้มป์ 2550 ต.มม	|	0.48	|	กก.
1-02-033-0001	|	เบลแคล้มป์ 70185 ต.มม	|	0.87	|	กก.
1-02-033-0100	|	ฮอทไลน์แคล้มป์ 2550 ต.มม	|	0.27	|	กก.
1-02-033-0101	|	ฮอทไลน์แคล้มป์ 50120 ต.มม	|	0.3	|	กก.
1-02-044-0102	|	กายแคล้มป์ สลัก 3 ตัว	|	1	|	กก.
1-02-044-0103	|	ห่วง แขวนเคเบิลสเปเซอร์	|	0.2	|	กก.
1-02-044-0105	|	เหล็กคอนเคเบิลอากาศทางตรง	|	6.5	|	กก.
1-02-044-0112	|	เหล็กคอนเคเบิลอากาศทางโค้ง	|	26.5	|	กก.
1-03-001-0002	|	ลูกถ้วยไลน์โพสท์ไทพ์ 22 เควี	|	1.5	|	กก.
1-03-002-0000	|	ลูกถ้วยแขวน แบบ ก 521	|	1	|	กก.
1-03-011-0000	|	สเตรนแคล้มป์ 3570 ต.มม	|	0.6	|	กก.
1-03-011-0004	|	สเตรนแคล้มป์ 185 ต.มม	|	0.94	|	กก.
1-03-013-0000	|	แร็ค 2x200 มม.	|	2	|	กก.
